TABLE 1. SELECTED EXPERIMENTAL THERAPIES UNDER DEVELOPMENT FOR COVID-19,,,
Company,Modality,Status,Partners
RNAi,,,
Alnylam Pharmaceuticals,Aerosolized delivery of siRNA chemistry optimized for lung uptake,Alnylam has synthesized 350 siRNAs to SARS-CoV2;Vir will conduct in vitro and in vivo testing,Vir Biotechnology
Sirnaomics,Respiratory-specific siRNA formulation that is delivered by a customized handheld nebulizer device,Preclinical,
Recombinant proteins,,,
Apeiron Biologics (Vienna),Recombinant ACE2 enzyme (APN01; binds virus in circulation and blocks entry),"24 patients in randomized, unblinded clinical trial in China",
Monoclonal antibodies,,,
"AbCellera Biologics (Vancouver, British Columbia, Canada)",Fully human IgG1 mAbs targeting SARS-CoV-2 developed from polyclonal antibodies identified in sera of convalescent patients,Discovered 500 unique antibodies from one patient with COVID-19,Eli Lilly for manufacture and scale-up
Beijing Defengrei Biotechnology,Fully human IgG1 mAb targeting complement factor 5a,Approved for phase 1 clinical trials in China in February 2020,
"EUSA Pharma (Hemel Hempstead, UK)","Sylvant (siltuximab), human IgG1κ mAb against IL-6",Observational case–control study in patients with respiratory symptoms,"Papa Giovanni XXIII Hospital (Bergamo, Italy)"
Harbour Biomed (Shanghai),Fully human IgG1 mAb (47D11) targeting the full-length spike (S) proteins of SARS-CoV and SARS-CoV-2,Antibody reformatted from chimeric mAb identified via SARS2-S1 subunit screening in hybridomas derived from mice engineered with two human heavy and light chains and a rat constant region (H2L2),Research partnership with Mount Sinai Health System
"ImmunoPrecise Antibodies (Victoria, British Columbia, Canada)",Fully human IgG1 mAbs targeting multiple undisclosed epitopes (polytope) on SARS-CoV-2,"Reactive B cells were profiled in animals immunized with designed SARS-CoV-2 target antigens (e.g., S protein or Nsp15) and phage display used to identify neutralizing mAbs that show broad cross-species reactivity, which are reformatted as fully human molecules",EVQLV to provide computational antibody design expertise to optimize novel mAbs. Ligand Pharmaceuticals to combine its OmniMab platform with B Cell Select and DeepDisplay antibody technologies.
"InflaRx (Jena, Germany)",Fully human IgG1 mAb against complement factor 5a,Approved for clinical trial in China,
Vir Biotechnology,Human IgG1 mAbs targeting SARS-CoV-2 developed from polyclonal antibodies identified in sera of convalescent patients,Vir has also identified two mAbs targeting the human angiotensin-converting enzyme ACE2 receptor,"WuXi and Biogen to provide scale-up/manufacturing in China and United States, respectively"
Others,,,
NanoViricides,SARS-CoV-2 S protein chemically attached to virucidal nanomicelle flexible polymer and polyethylene glycol,Testing candidates in culture,
Pharmamar (Madrid),"Aplidin natural product from marine tunicate Aplidium albicans, targeting elongation factor 1A","Positive in vitro studies against SARS-CoV-2–related coronavirus, requesting IND from regulators in mid-March",
"Does not include polyclonal or IgG products extracted from convalescent patient serum. Sources: BioWorld, company sites, Thomson Cortellis, PubMed",,,
,,,
,,,
,,,
NEWS FEATURE ,,,
 20 MARCH 2020,,,